2020-10-22 12:29:04.691  INFO 161980 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:5002
2020-10-22 12:29:07.914  INFO 161980 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=text, profiles=[dev], label=trunk, version=173, state=null
2020-10-22 12:29:07.915  INFO 161980 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-svn://zlyfs.synology.me/CorrectionSYS/configData//trunk/text-dev.yml'}]
2020-10-22 12:29:07.972  INFO 161980 --- [main] com.nmefc.correctionsys.Application      : No active profile set, falling back to default profiles: default
2020-10-22 12:29:09.421  WARN 161980 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-10-22 12:29:09.683  INFO 161980 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=d3d65ac3-4be9-3797-9902-043a602c92a2
2020-10-22 12:29:10.472  INFO 161980 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8001 (http)
2020-10-22 12:29:10.489  INFO 161980 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-10-22 12:29:10.490  INFO 161980 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-10-22 12:29:10.681  INFO 161980 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-10-22 12:29:10.681  INFO 161980 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2684 ms
2020-10-22 12:29:10.847  WARN 161980 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-10-22 12:29:10.847  INFO 161980 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-10-22 12:29:10.858  INFO 161980 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@33d7765a
2020-10-22 12:29:11.045  INFO 161980 --- [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure : Init DruidDataSource
2020-10-22 12:29:11.340  INFO 161980 --- [main] com.alibaba.druid.pool.DruidDataSource   : {dataSource-1} inited
2020-10-22 12:29:12.564  INFO 161980 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2020-10-22 12:29:13.304  WARN 161980 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2020-10-22 12:29:13.304  INFO 161980 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
